Online_Grocery_Site,Product_Catagory,Product_Name,Weight,Unit,DayOfDeal,Date,Original_Price,Discounted_Price,Discount %,Product_Category
naturesbasket.co.in,Fruits & Vegetables,Avocado Pack 3Pc (Approx 550-700G),1,Pc/Box,28_Nov_2023,28 Nov 2023,549.0,549.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Blueberries Imported Combo Pack (125 Gm*2 Punnets),1,Pc/Box,28_Nov_2023,28 Nov 2023,599.0,599.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Blueberries Imported 500 Gm,1,Pc/Box,28_Nov_2023,28 Nov 2023,1199.0,1199.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Apple Royal Gala,500,gm,28_Nov_2023,28 Nov 2023,209.5,209.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,Raspberry Indian 125 Gm Punnet,1,Pc/Box,28_Nov_2023,28 Nov 2023,449.0,449.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Pomegranate Red,500,gm,28_Nov_2023,28 Nov 2023,249.5,249.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,Orange Mandarins Combo (Approx 900 - 1000G),1,Pc/Box,28_Nov_2023,28 Nov 2023,539.0,539.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Pears Beauty Imported,500,gm,28_Nov_2023,28 Nov 2023,249.5,249.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,Broccoli Pc (Approx 250 - 350G),1,Pc/Box,28_Nov_2023,28 Nov 2023,69.0,69.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Imported Avocado Pc,1,Pc/Box,28_Nov_2023,28 Nov 2023,429.0,429.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Strawberries Punnet 1Pc (200 Gm),1,Pc/Box,28_Nov_2023,28 Nov 2023,235.0,235.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Elaichi Banana,250,gm,28_Nov_2023,28 Nov 2023,54.75,54.75,0.0,
naturesbasket.co.in,Fruits & Vegetables,Apple Fuji,500,gm,28_Nov_2023,28 Nov 2023,274.5,274.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,APPLE PINK LADY 4 PC PACK,1,Pc/Box,28_Nov_2023,28 Nov 2023,279.0,279.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Tangerine,500,gm,28_Nov_2023,28 Nov 2023,114.5,114.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,Mushroom Button 200G,1,Pc/Box,28_Nov_2023,28 Nov 2023,55.0,55.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Apple Red Delicious Washington,500,gm,28_Nov_2023,28 Nov 2023,299.5,299.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,Imported Blueberry,1,Pc/Box,28_Nov_2023,28 Nov 2023,349.0,349.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Tomato,500,gm,28_Nov_2023,28 Nov 2023,39.5,39.5,0.0,
naturesbasket.co.in,Fruits & Vegetables,Kiwi Green 3Pc [1 Pack],1,Pc/Box,28_Nov_2023,28 Nov 2023,179.0,179.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Imported Red Globe Grapes,200,gm,28_Nov_2023,28 Nov 2023,79.8,79.8,0.0,
naturesbasket.co.in,Fruits & Vegetables,Italian Lemon,150,gm,28_Nov_2023,28 Nov 2023,82.35,82.35,0.0,
naturesbasket.co.in,Fruits & Vegetables,Natures Spinach 200 Gm,1,Pc/Box,28_Nov_2023,28 Nov 2023,59.0,59.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Capsicum Red,1,Kg,28_Nov_2023,28 Nov 2023,399.0,399.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Apple Pink Lady,1,Kg,28_Nov_2023,28 Nov 2023,419.0,419.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Apple Pink Lady,1,Pc/Box,28_Nov_2023,28 Nov 2023,419.0,419.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,AVOCADO HASS IMPORTED PACK (2PC-450-500G),1,Pc/Box,28_Nov_2023,28 Nov 2023,799.0,799.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Natures Cherry Tomato Red 200 Gm,1,Pc/Box,28_Nov_2023,28 Nov 2023,65.0,65.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Natures Baby Spinach 200 Gm,1,Pc/Box,28_Nov_2023,28 Nov 2023,55.0,55.0,0.0,
naturesbasket.co.in,Fruits & Vegetables,Dragon Fruit Red Flesh 1Pc (Approx 250-300G),1,Pc/Box,28_Nov_2023,28 Nov 2023,119.0,119.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Farm Made Free Range Eggs 12Pcs,1,Pc/Box,28_Nov_2023,28 Nov 2023,289.0,289.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Zorabian Chicken Breast Boneless 450G,1,Pc/Box,28_Nov_2023,28 Nov 2023,275.0,275.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Farm Made Foods Made Free Range Eggs 24Pcs Box,1,Pc/Box,28_Nov_2023,28 Nov 2023,569.0,569.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Chicken Breast Bone Less Kg,500,gm,28_Nov_2023,28 Nov 2023,295.0,295.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Zorabian Chi Pre Cut Without Skin 900G,1,Pc/Box,28_Nov_2023,28 Nov 2023,295.0,295.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Zorabian Chicken Leg Boneless 450G,1,Pc/Box,28_Nov_2023,28 Nov 2023,275.0,275.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Mutton Curry Cut Kg,250,gm,28_Nov_2023,28 Nov 2023,257.5,257.5,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Farm Made Foods Made Free Range Eggs 6Pcs Carton,1,Pc/Box,28_Nov_2023,28 Nov 2023,149.0,149.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,White Prawns Small Kg,250,gm,28_Nov_2023,28 Nov 2023,247.5,247.5,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Zorabian Chicken Mince 450G,1,Pc/Box,28_Nov_2023,28 Nov 2023,255.0,255.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Zorabian Chi Drumstick Without Skin 500G,1,Pc/Box,28_Nov_2023,28 Nov 2023,265.0,265.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Keggs Organic Eggs Pack Of6th,1,Pc/Box,28_Nov_2023,28 Nov 2023,140.0,140.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Big Sams Salmon Portions 300G,1,Pc/Box,28_Nov_2023,28 Nov 2023,1750.0,1750.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Atlantic Salmon Steaks Kg,250,gm,28_Nov_2023,28 Nov 2023,875.0,875.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Surmai Steaks Kg,250,gm,28_Nov_2023,28 Nov 2023,562.5,562.5,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Keggs Cage Free Tan Eggs 12 Eggs Pc,1,Pc/Box,28_Nov_2023,28 Nov 2023,270.0,270.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Chicken Curry Cut Kg,500,gm,28_Nov_2023,28 Nov 2023,165.0,165.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Real Good Chicken Chicken  Breast Boneless 450Gm,1,Pc/Box,28_Nov_2023,28 Nov 2023,275.0,275.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Big Sams Atlantic Salmon Smoked Pre Sliced 200G Pouch,1,Pc/Box,28_Nov_2023,28 Nov 2023,1595.0,1595.0,0.0,
naturesbasket.co.in,Meats Seafood & Eggs,Gadre Edamame 500G Pouch,1,Pc/Box,28_Nov_2023,28 Nov 2023,500.0,500.0,0.0,
